vertex,density,edges,comparations,error,time
10,0,9.0,53.666666666666664,4.529737135697669,8.373833346316435e-05
10,0.1,12.333333333333334,59.0,2.943920288775949,8.34433330965112e-05
10,0.3,21.333333333333332,64.66666666666667,0.7200822998230956,9.223066687506314e-05
10,0.5,27.333333333333332,64.0,0.8164965809277261,9.630366639612475e-05
10,0.7,33.666666666666664,66.33333333333333,2.372684056006958,9.473833324591396e-05
10,0.9,41.666666666666664,70.66666666666667,4.009248567259715,9.901033354253741e-05
10,1,45.0,73.0,0.8164965809277261,0.00010092933310564452
30,0,29.0,199.33333333333334,18.289847416490893,0.00028195833298620226
30,0.1,76.66666666666667,333.6666666666667,4.95161776781271,0.00040864033326215576
30,0.3,151.33333333333334,332.0,6.48074069840786,0.0004239913335671493
30,0.5,238.0,337.0,5.436502143433364,0.0004417129997212517
30,0.7,315.3333333333333,342.6666666666667,12.095300587265134,0.0004901323330462523
30,0.9,392.6666666666667,351.6666666666667,2.8803291992923823,0.0004933913335965675
30,1,435.0,339.6666666666667,4.996294923537137,0.0005795449997094693
50,0,49.0,368.0,29.00957696271277,0.0005567363335406602
50,0.1,171.66666666666666,658.3333333333334,4.27741701220448,0.0008436413336312398
50,0.3,406.0,660.0,9.741092797468305,0.0008937200000218581
50,0.5,629.6666666666666,695.0,2.6246692913372702,0.0009553196665971578
50,0.7,862.3333333333334,672.0,12.684198393626966,0.0009814533329214707
50,0.9,1108.6666666666667,721.3333333333334,14.160456155029701,0.0010532186667357262
50,1,1225.0,689.3333333333334,8.873597959156182,0.0010410013334573402
70,0,69.0,548.0,64.33246976967904,0.0008821376668493031
70,0.1,315.0,994.0,3.681787005729087,0.0013071993334961007
70,0.3,762.6666666666666,1045.0,3.0912061651652345,0.0014247710002261253
70,0.5,1239.0,1063.3333333333333,4.815099706671212,0.0015497343335179419
70,0.7,1731.0,1067.6666666666667,2.1256807188565547,0.0016985593335145193
70,0.9,2178.6666666666665,1108.0,23.809428571238097,0.0017631219995261442
70,1,2415.0,1104.3333333333333,15.49432393084881,0.0017968190001435385
90,0,89.0,816.0,19.938795238317574,0.0013592196667862784
90,0.1,487.3333333333333,1378.0,2.0548046676563256,0.0018898336666097748
90,0.3,1256.0,1466.6666666666667,13.632749240408254,0.0021871166666945405
90,0.5,2046.0,1461.0,14.42990721460891,0.002274293333660656
90,0.7,2821.0,1481.6666666666667,15.862838006789001,0.0024968253331583887
90,0.9,3621.0,1517.6666666666667,22.560207511522652,0.0026487256667072265
90,1,4005.0,1529.0,6.944222218666552,0.002731093333750323
200,0,199.0,1836.3333333333333,71.06230964338165,0.0043833119998453185
200,0.1,2144.6666666666665,3768.6666666666665,8.03234203196792,0.006362204667008579
200,0.3,6138.333333333333,3984.0,15.456030825826174,0.00736436799979856
200,0.5,10041.666666666666,4034.0,22.686266036231405,0.008659603666274052
200,0.7,13996.666666666666,4157.666666666667,18.435071246183234,0.009712119999979526
200,0.9,17916.333333333332,4138.666666666667,32.524634538328826,0.010858607000045595
200,1,19900.0,4115.666666666667,15.422446364045229,0.011710180333769435
300,0,299.0,2388.0,234.13386484373993,0.00827659433343797
300,0.1,4788.0,6362.333333333333,25.69190678159319,0.012739267666499169
300,0.3,13632.666666666666,6480.0,28.083209693100727,0.014941007333315307
300,0.5,22666.666666666668,6601.0,28.075295585660754,0.023282009666521237
300,0.7,31583.666666666668,6657.666666666667,8.01849713451943,0.022911495666752064
300,0.9,40397.333333333336,6798.0,18.38477631085024,0.02649610800017399
300,1,44850.0,6735.333333333333,19.057418114350778,0.02911892466666662
500,0,499.0,4523.666666666667,181.59866209329314,0.021775487999851368
500,0.1,12953.333333333334,11667.333333333334,13.252532951463643,0.0313832416668447
500,0.3,37781.0,12047.0,105.8374014966144,0.042115779666649665
500,0.5,62727.0,12218.0,70.39570693980959,0.05954711199986681
500,0.7,87366.33333333333,12296.666666666666,37.482835577941046,0.06338224066712428
500,0.9,112406.0,12333.666666666666,23.410981911788195,0.07297112466676481
500,1,124750.0,12395.333333333334,2.8803291992923823,0.07813806866670348
1000,0,999.0,8355.333333333334,197.70029693302794,0.07911025200034298
1000,0.1,50873.0,26478.333333333332,19.688312005594327,0.11465522166690789
1000,0.3,150602.33333333334,27455.333333333332,60.38825002217518,0.16185168099976485
1000,0.5,250583.66666666666,27815.333333333332,3.6004114991154785,0.20305210599963175
1000,0.7,349973.0,27932.333333333332,60.70389578077311,0.23989952733336395
1000,0.9,449538.3333333333,27937.333333333332,13.673440055924589,0.2810535189998215
1000,1,499500.0,27962.0,67.11846905948384,0.3005479486664626
